product_name,page,avg_price,rating,comments_num,sold_num,style_num,img_num,description_len,remain_num,transport_free,seller_name,product_num,watching,response_rating,canceled_rate,follower_num,comment_rating,comment_num
/【70-160Kg】大至7XL大尺碼男生衣著-大尺碼休閒褲-大碼休閒褲暗紋迷彩印花-加肥大碼男裝彈力鬆緊腰休閒束腳褲-i.68442123.1656069016,1,495,5,63,111,6,5,864,5769,299,leejc520520,1799,3878,0.99,,"6,233",4.9,"(8,000個評價)"
/【M-5XL大尺碼】夏季新款-圓領-短袖-潮流-衣服-上衣-男生衣著-男生上衣衣服-i.3764903.16003658,1,149,4.6,40,87,6,5,473,3682,99,syw7490dct5,216,141,1,0.01,1.5萬,4.7,(3.2萬個評價)
/GAP-夏季短袖-短袖-上衣-情侶款-刷舊-成人男生-素T-男生衣著-女生衣著-美國代購-印刷短袖-休閒短袖-現貨-蓋樸-i.952297.1237836273,1,549,4.9,96,183,33,5,625,68,99,fishwei,318,3338,1,0.03,1.7萬,4.9,"(4,671個評價)"
/韓版潮流毛衣-長袖T恤-港風學院風毛衣-圓領毛衣-秋季休閒針織衫-青少年圓領毛衣-男針織衫-正韓上衣男生衣著【西京】-i.178472823.7010108907,1,305,5,3,3,5,5,482,3379,299,western.tw,1089,2147,1,,624,4.9,(796個評價)
/【現貨】毛衣-針織衫-日系學院風秋冬新款素色毛衣-套頭上衣-毛線衣-港風簡約條紋針織衫-毛線衫-情侶打底衫-男生衣著-i.60283204.2440916573,1,294,4.3,6,19,18,5,1148,3951,299,cutebaby001,6045,1882,0.99,0.02,1.1萬,4.8,(1.5萬個評價)
/【町先生】3色??IG同款-男生印花T恤-大學T-男生短袖T恤-簡約百搭休閒上衣-男裝衣著-夏季必備新款-圓領素色T恤男-i.91238848.2287182155,1,259,4.9,19,39,15,5,780,1045,999,dingxiansheng,557,1977,1,,"7,364",4.8,"(6,265個評價)"
/歐米雅-現貨批發-韓版短袖T恤-七分袖-閨蜜裝正韓上衣卡通印花寬鬆大尺碼上衣-內搭原宿Bf學院風-T恤女生情侶衣男生衣著-i.33389042.1807321523,1,99,5,17,38,3,4,428,2958,299,sinsuper,4205,564,1,,3.4萬,4.8,(5.2萬個評價)
/【現貨-】韓版男生毛衣學生學院風針織衫-素色日系休閒長袖上衣-正韓上衣-秋冬百搭圓領打底衫毛線衫-保暖-大尺碼長袖衣著-i.88051212.1727065143,1,239,4.6,36,64,16,5,671,8000,299,mrright66,297,4350,0.95,,455,4.9,"(1,124個評價)"
/【小宅男】韓版風大碼簡單款拼接男生衛衣-圓領套頭長袖衛衣-潮流時尚大學T-長袖t恤-正韓上衣-男生衣著-i.38997216.1505385372,1,189,4.7,23,42,15,5,440,1476,888,xiaozhainan,1603,799,0.99,0.04,"6,840",4.8,(1.2萬個評價)
/【小宅男】青年潮牌長袖T恤-韓版潮流印花長袖T-寬鬆大尺碼圓領套頭大學T-男生衛衣-正韓上衣-男生衣著-i.38997216.1505236400,1,189,4.9,18,39,15,5,440,1246,888,xiaozhainan,1603,799,0.99,0.04,"6,840",4.8,(1.2萬個評價)
/「大胖胖」現貨-XL-8XL-10色-大尺碼長袖衛衣-潮流百搭長袖T恤-休閒上衣-加大加肥男生衣著-大碼棉T恤素色大學T-i.49807642.2704900000,1,299,5,72,195,10,5,368,190,299,dapangpang,1273,4653,1,,"4,275",4.9,"(3,575個評價)"
/多件優惠！！！GAP短袖上衣-圓領上衣-男生女生短袖衣服-情侶裝-大學T-短T-正韓衣著-休閒T恤-大呎碼-素T-i.85611600.1867873320,1,187,4.9,22,76,10,5,408,29911,1000,mat2tay,481,2528,1,,"5,688",4.8,"(1,625個評價)"
/【現貨實拍】M-5XL-三色可選-碎花T恤-短袖T恤-夏季港風潮時尚男生寬短袖T恤潮男碎花上衣T恤圓領韓版寬鬆-男生衣著-i.74417945.1419951638,1,351,4.9,31,76,7,5,307,1348,299,mengfan88,4193,3396,0.99,0.05,"6,742",4.8,"(8,729個評價)"
/【SKR六六六】落肩-條紋上衣-短袖上衣-粗條紋-寬版-五分袖-五分T-條紋T-條紋-現貨-男裝-男生衣著-i.126860707.1945939700,1,240,4.9,125,325,8,5,708,167,99,akaskr,340,3,1,0.04,"5,435",4.9,"(5,871個評價)"
/虧本出售-秋季純棉長袖t恤-男式羽毛印花T恤-大尺碼寬鬆t恤-男生T恤-長袖衣著-長袖T恤-素t-男生上衣-休閒百搭免運-i.84750645.5902538492,1,161,4.9,14,33,4,5,1168,1151,299,welove.123,1012,1980,0.99,0.01,1萬,4.9,(1.4萬個評價)
/【加絨-常?款】素色大學t-男生長袖t恤-素t-衛衣-加絨上衣-?尚長t-長袖t-素面t-落肩t-圓領t-男生衣著-i.162156519.2770575694,1,208.5,4.9,79,208,8,5,306,15365,299,yiduu,351,2356,0.99,0.05,657,4.8,"(2,044個評價)"
/【歐美系】網紅潮牌長袖t恤-男士寬松秋冬季新款體恤-韓版潮流圓領套頭印花打底衫-學生時尚白搭休閒情侶裝內穿上衣-男生衣著-i.163504458.2690937899,1,134,4.8,125,265,2,5,1046,1170,299,yang15915695080,1484,1557,1,,"1,516",4.8,"(1,945個評價)"
/【M-5XL】大尺碼條紋五分休閒短袖T恤-日系小清新風寬鬆圓領T恤衫-大橫杠條紋短袖-青少年運動上衣-學院風學生男生衣著-i.41060121.2011534608,1,248,4.7,23,39,20,5,696,7958,299,yirene,2569,4974,0.98,0.01,2.6萬,4.8,(3.8萬個評價)
/【現貨】ins.超火廠家直賣-男生短袖T恤-休閒短袖-情侶T恤-韓版潮牌夏季新款寬鬆短袖-圓領百搭正韓學生上衣-男生衣?-i.77456175.1971797073,1,207,4.9,14,28,12,5,1024,480,299,xiaozhu_666,2017,3,1,,"8,548",4.8,"(8,847個評價)"
/【新品特價】秋冬季男女潮流百搭加絨加厚長袖帽T-青少年韓版休閒連帽大學t-學院風寬鬆大尺碼長袖t恤-正韓上衣-男生衣著-i.23481977.7500399750,1,178,4.8,187,440,6,5,333,14543,299,huoyi.tw,3033,4097,1,0.03,6.2萬,4.8,(16.4萬個評價)
/【現貨-】夏季男士簡約短袖T恤-青少年百搭修身圓領T恤-織帶假兩件大尺碼棉質短袖上衣-男生五分袖t恤正韓上衣-男生衣著-i.32617730.1261354539,1,209,4.9,44,101,10,5,522,4893,299,yinyunyin,2446,3325,1,,2.9萬,4.8,(9.9萬個評價)
/現貨?素t短袖T恤寬鬆短袖大碼衣著純色T恤男生衣著情侶裝閨蜜裝韓版不規則下擺開叉素色上衣加大尺碼衣著休閒百搭多色可選免運-i.30991249.1336835852,1,99,4.6,22,85,20,5,613,9913,799,supers.tw,242,1541,1,,"2,391",4.7,"(8,914個評價)"
/【形男】字母T恤-短袖T恤-韓版T恤-男生T恤-短袖上衣-圓領T恤-休閒百搭上衣-大學T恤-上衣-修身T恤-男生衣著-i.52661758.1298476496,1,189,4.8,48,106,3,5,339,188,299,xnpushop,1139,4932,1,0.01,1.3萬,4.8,(2.2萬個評價)
/【三色入-現貨】夏季高質量吸汗舒適短袖T恤-韓版潮流織帶裝飾假兩件短袖T-寬鬆大尺碼棉T-素T-正韓上衣-男生衣著-i.60283204.1603812437,1,331,4.9,17,37,20,5,562,3284,299,cutebaby001,6045,1882,0.99,0.02,1.1萬,4.8,(1.5萬個評價)
/歐美買家實拍-侏羅紀公園恐龍印花字母T潮流T恤-特價爆款現貨-韓版短袖衣服T恤女生-男生衣著-情侶裝情侶衣-日系BF原宿-i.30990996.1416462510,1,89,4.7,21,57,3,5,524,7990,299,bsupermarket.tw,2748,168,1,0.01,4.5萬,4.7,(5.2萬個評價)
/【現貨】????實拍潮男-韓版休閒個性套裝-百搭男生套裝-潮牌寬鬆套裝-運動套裝-慵懶套裝-街頭潮流嘻哈套裝-男生衣著-i.178327990.6205674927,1,278,4.9,8,16,18,5,877,3008,299,lin630502806,829,23,1,,"1,656",4.8,"(1,779個評價)"
/Gildan-76000-經典純棉素T-寬鬆衣服-短袖衣服-衣服-T恤-短素T-寬鬆短袖-加大尺碼-大碼衣著-男短T-i.6166381.856223301,1,83,5,45,511,8,5,406,7999422,,melon2150,26,2,0.98,,512,4.9,"(2,853個評價)"
/【SKR六六六】背圖塗鴉-LA印花-短袖上衣-落肩-五分T-寬版-健康布-五分袖-短T-現貨-男裝-男生衣著-i.126860707.4616546863,1,280,4.9,15,39,2,5,676,78,99,akaskr,340,3,1,0.04,"5,435",4.9,"(5,871個評價)"
/原單-AF-男生-短T-C19-A-F-短袖T恤-麋鹿-短Tee-精梳純棉-短袖T-Shirt-i.22138117.941015039,1,380,4.8,108,233,4,4,575,517,980,aaacx668,208,1,0.99,0.03,"4,459",4.8,(1.1萬個評價)
/70-140Kg-大尺碼t恤-純棉t恤大碼男裝-短袖t恤大碼寬鬆加肥半袖圓領胖子衣服t恤純棉短袖大碼-oversize-i.100543668.2723427607,1,199,5,38,138,8,5,594,15235,999,damananzhuang,1054,4915,0.98,,"2,875",4.9,"(2,891個評價)"
/新品-Thrasher-火焰-13色100-純棉-短T-短袖T恤-火焰Logo-純棉短T-圓領短Tee-情侶款男女生潮T-i.41883484.6915891571,1,245,4.9,17,48,9,5,606,831,299,taiwan1291,425,10,0.82,0.02,"6,382",4.8,(1.8萬個評價)
/原單-AF-男生-短T-C48-A-F-短袖T恤-麋鹿-短Tee-精梳純棉-短袖T-Shirt-i.22138117.941032733,1,380,4.8,173,367,9,5,575,776,980,aaacx668,208,1,0.99,0.03,"4,459",4.8,(1.1萬個評價)
